id,title,artist,active,comment,tabs,lyrics,chords,capo,bypassRequestLimits,minAmount,attributes
3475913,"Земля, Земля, я - Юпитер",Евгения Теджетова,true,,,,,,false,0,
4267523,Будильник,Егор Крид,true,,,,,,false,0,
4267525,Невеста,Егор Крид,true,,,,,,false,0,Позитив
4950600,Вернуться,Екатерина Яшникова,true,Заказчик: Kordart,,,,,false,0,
4938001,Маленький принц,Елена Камбурова,true,,,,,,false,0,
3237772,Движения,Елена Темникова,true,,,,,,false,0,
3237771,"Импульсы ",Елена Темникова,true,,,,,,false,0,
4990799,Летел голубь,Елена Фролова,true,,,,,,false,0,
4183815,Не брошу на пол пути,Елка,true,,,,,,false,0,Под гитару
4706327,Все зависит от нас самих,"Елка ",false,,,,,,false,0,Под минус
4167987,Грею счастье,Ёлка,false,,,,,,false,0,Под минус
3904315,Около тебя,Ёлка,true,,,,,,false,0,СОВМЕСТНЫЙ СТРИМ
4135514,Прованс,Ёлка,true,,,,,,false,0,
4950569,Колыбельная тишины,Женя Любич,true,Заказал: Кот Матроскин,,,,,false,0,
4624242,Поезда,Женя Трофимов,true,,,,,,false,0,СОВМЕСТНЫЙ СТРИМ
3475914,Батарейка,Жуки,true,,,,,,false,0,"СОВМЕСТНЫЙ СТРИМ,Под минус"
4164522,Районы-кварталы,Звери,true,,,,,,false,0,"СОВМЕСТНЫЙ СТРИМ,Под минус"
4389678,Тёплая зима,Земля легенд,true,,,,,,false,0,
4617058,Непрожитый миг,Земля Легенд,true,,,,,,false,0,
3322567,Трава у дома,Земляне,true,,,,,,false,0,"СОВМЕСТНЫЙ СТРИМ,Под минус"
3916408,Ариведерчи,Земфира,true,,,,,,false,0,"Рок, метал,Под гитару"
3996037,Главное,Земфира,true,,,,,,false,0,
3904176,Жди меня,Земфира,true,,,,,,false,0,Под гитару
3237729,Жить в твоей голове,Земфира,true,,,,,,false,0,
3237732,Искала,Земфира,false,,,,,,false,0,
3237731,Корабли,Земфира,false,,,,,,false,0,
4128465,ПММЛ,Земфира,true,,,,,,false,0,"Рок, метал,Под гитару"
3666563,Ромашки,Земфира,true,,,,,,false,0,
3237730,Хочешь,Земфира,true,,,,,,false,0,"СОВМЕСТНЫЙ СТРИМ,Под минус"
